Code,Name
196170,알테오젠
086520,에코프로
247540,에코프로비엠
277810,레인보우로보틱스
036930,주성엔지니어링
058470,리노공업
240810,원익IPS
214450,파마리서치
028300,HLB
298380,에이비엘바이오
319660,피에스케이
039030,이오테크닉스
141080,리가켐바이오
087010,펩트론
000250,삼천당제약
145020,휴젤
214370,케어젠
214150,클래시스
222800,심텍
440110,파두
108490,로보티즈
403870,HPSP
319400,현대무벡스
095340,ISC
257720,실리콘투
347850,디앤디파마텍
095610,테스
084370,유진테크
263750,펄어비스
080220,제주반도체
178320,서진시스템
226950,올릭스
310210,보로노이
237690,에스티팜
031980,피에스케이홀딩스
005290,동진쎄미켐
357780,솔브레인
067310,하나마이크론
131290,티에스이
068760,셀트리온제약
064760,티씨케이
140410,메지온
058610,에스피지
098460,고영
140860,파크시스템스
089970,브이엠
035900,JYP Ent.
041510,에스엠
032820,우리기술
007390,네이처셀
290650,엘앤씨바이오
096530,씨젠
089030,테크윙
060370,LS마린솔루션
082920,비츠로셀
010170,대한광통신
0009K0,에임드바이오
950160,코오롱티슈진
083650,비에이치아이
030530,원익홀딩스
420770,기가비스
131970,두산테스나
039200,오스코텍
183300,코미코
127120,제이에스링크
195940,HK이노엔
078600,대주전자재료
003380,하림지주
437730,삼현
218410,RFHIC
043260,성호전자
166090,하나머티리얼즈
458870,씨어스
241710,코스메카코리아
475830,오름테라퓨틱
491000,리브스메드
323280,태성
031330,에스에이엠티
086450,동국제약
293490,카카오게임즈
101490,에스앤에스텍
085660,차바이오텍
347700,스피어
099320,쎄트렉아이
122870,와이지엔터테인먼트
090710,휴림로봇
038500,삼표시멘트
036540,SFA반도체
204270,제이앤티씨
083450,GST
014620,성광벤드
065350,신성델타테크
281740,레이크머티리얼즈
388720,유일로보틱스
056190,SFA
417200,LS머트리얼즈
213420,덕산네오룩스
328130,루닛
093320,케이아이엔엑스
035760,CJ ENM
041830,인바디
032190,다우데이타
019210,와이지-원
252990,샘씨엔에스
476830,알지노믹스
232140,와이씨
033100,제룡전기
388210,씨엠티엑스
137400,피엔티
079940,가비아
006730,서부T&D
445680,큐리옥스바이오시스템즈
253450,스튜디오드래곤
100790,미래에셋벤처투자
115180,큐리언트
074600,원익QnC
251970,펌텍코리아
053800,안랩
466100,클로봇
032500,케이엠더블유
036830,솔브레인홀딩스
225570,넥슨게임즈
189300,인텔리안테크
094170,동운아나텍
067160,SOOP
023160,태광
102710,이엔에프테크놀로지
439960,코스모로보틱스
090360,로보스타
052400,코나아이
048410,현대바이오
399720,가온칩스
171090,선익시스템
086900,메디톡스
037460,삼지전자
397030,에이프릴바이오
376900,로킷헬스케어
161580,필옵틱스
045100,한양이엔지
041960,코미팜
112040,위메이드
050890,쏠리드
490470,세미파이브
222080,SFA넥셀
119850,지엔씨에너지
